year;title;author;publisher;classification;library
2015.0;"C'est bon l'amour ! / Darasse ; [scénario de] Zidrou ; coul. Benoît Bekaert";Zidrou (pseud.);Marcinelle (Belgique) : Dupuis, 2004;BD ZID;CABANIS
2015.0;"Le père de Max et Lili est au chômage / Dominique de Saint-Mars ; ill. de Serge Bloch";Saint-Mars, Dominique de;[Fribourg] : Calligram, 1998;E SAI;CABANIS
2012.0;Gouzi gouzi gouzi / dessins Midam et Adam , scénario Midam, Adam et Noblet , couleurs Angèle;Midam;Marcinelle (Belgique) : Dupuis, 2008;Gam 03;CABANIS
2012.0;Métronome : l'histoire de France au rythme du métro parisien / Lorànt Deutsch , avec la complicité d'Emmanuel Haymann;Deutsch, Lorànt;Neuilly-sur-Seine (Hauts-de-Seine) : M. Lafon, 2009;914.434 D;CABANIS
2012.0;Bête de scène / Jim Davis;Davis, Jim;Paris : Dargaud, 2011;Gar 52;CABANIS
2012.0;Je reste roi d'Espagne / Carlos Salem , traduit de l'espagnol par Danielle Schramm;Salem, Carlos (1959-....);Arles (Bouches-du-Rhône) : Actes Sud, Impr. 2011;P SALE;CABANIS
2016.0;Peine perdue / Olivier Adam;Adam, Olivier (1974-....);Paris : Flammarion, 2014;ADAM;CABANIS
2011.0;Le symbole perdu / Dan Brown, traduit de l'américain par Dominique Defert et Alexandre Boldrini;Brown, Dan (1964-....);Paris : Lattès, 2009;-;CABANIS
2011.0;On se calme ! / dessin Laudec, scénario Cauvin, couleurs Leonardo;Cauvin, Raoul;Marcinelle (Belgique) : Dupuis, 2004;Céd 19;CABANIS
2011.0;La corde au cou / Dessin Achdé, Scénario Laurent Gerra et Achdé, d'après Morris, Couleur Anne-Marie Ducasse;Gerra, Laurent;[Givrins] : Lucky comics, 2006;Luc 02;CABANIS
2014.0;Le cycle d'anathos : la marque du destin / Patrick Sobral;Sobral, Patrick;Paris : Delcourt, 2009;Lég 10;CABANIS
2014.0;Délivrance : La troisième enquête du département V / Jussi Adler-Olsen, traduit du danois par Caroline Berg;Adler-Olsen, Jussi (1950-....);Paris : Albin Michel, 2013;P ADLE;CABANIS
2014.0;Un paradis trompeur / Henning Mankell, traduit du suédois par Rémi Cassaigne;Mankell, Henning (1948-....);Paris : Seuil, 2013;EN MANK;CABANIS
2014.0;Lili est harcelée à l'école/ Dominique de Saint-Mars, illustrations Serge Bloch;Saint-Mars, Dominique de;Coppet (Suisse) : Calligram, 2012;E SAI;CYP
2014.0;Bébés chouettes / Martin Waddell, ill. Patrick Benson, [trad. de l'anglais par Isabel Finkenstaedt];Waddell, Martin;[Paris] : Kaléidoscope, 1993;A WAD;CABANIS
2015.0;Science & vie;-;Paris : Science et Vie : Excelsior publications, 1913-;P10025;CABANIS
2015.0;"Kobra / Deon Meyer ; traduit de l'anglais (Afrique du Sud) par Estelle Roudet";Meyer, Deon (1958-....);Paris : Seuil, 2014;P MEYE;CABANIS
2015.0;"Trop c'est trop. 3 / Jeff Kinney ; traduit de l'anglais par (Etats-Unis) Natalie Zimmermann";Kinney, Jeff;Paris : Seuil Jeunesse, 2010;J KIN;CABANIS
2011.0;Les déferlantes Claudie Gallay;Gallay, Claudie (1961-....);Rodez : Ed. du Rouergue, impr. 2008;GALL;CABANIS
2011.0;Max n'aime pas lire / Dominique de Saint-Mars, ill. de Serge Bloch;Saint-Mars, Dominique de;[Fribourg] : Calligram, 1992;E SAI;CABANIS
2011.0;Guerre sale / Dominique Sylvain;Sylvain, Dominique (1957-....);Paris : V. Hamy, 2011;P SYLV;CABANIS
2011.0;Aya de Yopougon. 6 / [scénario] Marguerite Abouet, [dessin] Clément Oubrerie;Abouet, Marguerite (1971-....);Paris : Gallimard, 2010;ABO Aya;CABANIS
2012.0;L'accordeur de silences / Mia Couto , traduit du portugais (Mozambique) par Elisabeth Monteiro Rodrigues;Couto, Mia (1955-....);Paris : Métailié, 2011;COUT;CABANIS
2012.0;Seras-tu là ?  / Guillaume Musso;Musso, Guillaume (1974-...);Paris : XO, 2006;-;CABANIS
2012.0;Le club des incorrigibles optimistes / Jean-Michel Guenassia;Guenassia, Jean-Michel;Paris : Albin Michel, 2009;RT GUEN;CABANIS
2012.0;Avis de tempête / dessin Laudec , scénario Cauvin , couleurs Leonardo;Cauvin, Raoul;[Marcinelle] , [Paris] : Dupuis, 2001;BD CAU;CABANIS
2016.0;Le livre des Baltimore  / Joël Dicker;Dicker, Joël (1985-....);Paris : Ed. de Fallois, 2015;DICK;CABANIS
2016.0;"Un namour de sister / Scénario Cazenove & William ; Dessin, couleur William";Cazenove, Christophe (1969-....);Charnay-lès-Mâcon (Saône-et-Loire) : Bamboo, 2011;BDT CAZ Sis 6;CABANIS
2016.0;"Le nouveau nom / Elena Ferrante ; traduit de l'italien par Elsa Damien";Ferrante, Elena;Paris : Gallimard, 2016;FERR;CABANIS
2016.0;"La bibliothèque des coeurs cabossés / Katarina Bivald ; traduit du suédois par Carine Bruy";Bivald, Katarina;Paris : Denoël, 2015;BIVA;CABANIS
2014.0;La princesse des glaces / Camilla Läckberg, traduit du suédois par Lena Grumbach et Marc de Gouvenain;Läckberg, Camilla (1974-....);Arles (Bouches-du-Rhône) : Actes Sud, DL 2008;P LACK;CABANIS
2014.0;Walking blork / dessin Midam et Adam, scénario Midam, couleurs Angèle;Midam (1963-....);Lasne (Belgique) : Mad fabrik, 2010;Gam 05;CABANIS
2014.0;Fleur de tonnerre / Jean Teulé;Teulé, Jean (1953-....);Paris : Julliard, 2013;TEUL;CABANIS
2013.0;Rebondir;-;Paris : Rebondir, 1993-;P1956;CABANIS
2018.0;Ces jours qui disparaissent / Timothé Le Boucher;Le Boucher, Timothé (1988-....);Grenoble : Glénat, 2017;LEB;CABANIS
2017.0;"Survitaminées ! / scénario Cazenove & William ; dessins & couleurs William";Cazenove, Christophe (1969-....);Charnay-lès-Mâcon (Saône-et-Loire) : Bamboo, 2015;Sis 10;CABANIS
2017.0;"Va-t'en, Grand Monstre Vert ! / Ed Emberley ; [traduction de l'américain par Elisabeth Duval]";Emberley, Ed;Paris : Kaléidoscope, 1996;A EMB;CABANIS
2014.0;Les anges meurent de nos blessures  / Yasmina Khadra;Khadra, Yasmina (1955-....);Paris : Julliard, 2013;KHA;CABANIS
2014.0;Cyanure / Camilla Läckberg, trad. du suédois par Lena Grumbach;Läckberg, Camilla (1974-....);Arles (Bouches-du-Rhône) : Actes Sud, 2011;P LACK;CABANIS
2014.0;Come prima / Alfred, collaboration aux couleurs Maxime Derouen;Alfred (1976-....);Paris : Delcourt, 2013;ALF Com;CABANIS
2014.0;Absolution  / Patrick Flanery, traduit de l'anglais (Etats-Unis) par Michel Marny;Flanery, Patrick (1975-....);Paris : R. Laffont, 2013;AN FLAN;CABANIS
2011.0;Cadavre exquis / Pénélope Bagieu;Bagieu, Pénélope;Paris : Gallimard, 2010;BAG Cad;CABANIS
2011.0;Max et Lili fêtent Noël en famille / Dominique de Saint-Mars, illustrations de Serge Bloch;Saint-Mars, Dominique de;Coppet (Suisse) : Calligram, 2007;E SAI;CABANIS
2012.0;Le cas Sneijder / Jean-Paul Dubois;Dubois, Jean-Paul (1950-....);Paris : Ed. de l'Olivier, 2011;DUBO;CABANIS
2012.0;Chi, une vie de chat. 6 / Kanata Konami , [trad. Kayo Chassaigne et Elodie Lepelletier];Konami, Kanata;Grenoble : Glénat, 2011;BD CHI 06;CABANIS
2012.0;L'embellie / Audur Ava Olafsdottir , traduit de l'islandais par Catherine Eyjolfsson;Audur Ava Olafsdottir (1958-....);Honfleur (Calvados) : Zulma, 2012;OLAF;CABANIS
2012.0;Un matin sur la terre  / Christian Signol;Signol, Christian;Paris : Albin Michel, 2007;-;CABANIS
2015.0;Une autre idée du bonheur / Marc Levy;Levy, Marc (1961-....);Paris : R. Laffont : Versilio, 2014;RT LEVY;CABANIS
2016.0;La terre qui penche  / Carole Martinez;Martinez, Carole (1966-....);Paris : Gallimard, 2015;MART;CABANIS
2016.0;Face à face / Bruno Dequier;Dequier, Bruno;Marcinelle (Belgique) : Dupuis, 2013;BD LOU/2;CABANIS
2013.0;T'choupi l'ami des petits : Magazine;-;Paris : Pressmaker & Paperbox, 2010-;-;CABANIS
2013.0;Fan 2;-;Neuilly-sur-Seine : M6 Editions, 1999-;-;MGM
2013.0;Menace sur nos libertés : comment Internet nous surveille, comment résister / Julian Assange, Jacob Appelbaum, Andy Müller-Maguhn et Jérémie Zimmermann, traduit de l'anglais par Abel Gerschenfeld et Anatole Muchnik;-;Paris : R. Laffont, 2013;302.22 M;CABANIS
2018.0;Le tour du monde du roi Zibeline / Jean-Christophe Rufin;Rufin, Jean-Christophe (1952-....);Paris : Gallimard, 2017;RUFI;CABANIS
2018.0;Tout homme est une nuit / Lydie Salvayre;Salvayre, Lydie (1948-....);Paris : Ed. du Seuil, 2017;SALV;CABANIS
2018.0;Sang royal. 13 / Patrick Sobral;Sobral, Patrick (1972-....);Paris : Delcourt, 2010;BDT SOB Leg 13;CABANIS
2017.0;"Frère adoré chéri de mon coeur ! / scénario et dessin Dutto ; couleur Benoît Bekaert";Dutto, Olivier;Toulon : Soleil, 2014;BD PTI/17;EMP
2017.0;"Une avalanche de conséquences / Elizabeth George ; traduit de l'anglais (Etats-Unis) par Isabelle Chapman";George, Elizabeth (1949-....);Paris : Presses de la Cité, 2016;P GEOR;CABANIS
2013.0;Courrier international(Paris. 1990);-;Paris : Courrier international, 1990-;P1973;CABANIS
2013.0;The good life : premier magazine masculin hybride : news & lifestyle : business - culture - design - architecture - mode - voyages - lifestyle;-;Paris : IDEAT Ed., 2011-;-;CABANIS
2013.0;Grand atlas du corps humain : description, fonctions, pathologies / préf. du Prof. Jacques Amouroux;-;Paris : Larousse, 2006;611 G;CABANIS
2012.0;Sunset park / Paul Auster , traduit de l'américain par Pierre Furlan;Auster, Paul (1947-....);Arles (Bouches-du-Rhône) : Actes Sud, 2011;AUST;CABANIS
2012.0;Chagrin d'école / Daniel Pennac;Pennac, Daniel;Paris : Gallimard, 2007;-;CABANIS
2012.0;Retour à Killybegs / Sorj Chalandon;Chalandon, Sorj (1952-....);Paris : Grasset, 2011;CHAL;CABANIS
2016.0;Celle que vous croyez / Camille Laurens;Laurens, Camille (1957-....);Paris : Gallimard, 2016;LAUR;CABANIS
2016.0;Le jour où j'ai appris à vivre : roman / Laurent Gounelle;Gounelle, Laurent (1966-....);Paris : Kero, 2014;RT GOUN;CABANIS
