year;title;author;publisher;classification;library
2023.0;Top Gun : Maverick;Kosinski, Joseph;Boulogne-Billancourt : Paramount Pictures, 2022;AV TOPG;CABANIS
2023.0;Trois mille ans à t'attendre;Miller, George;Paris : Metropolitan filmexport, 2023;F TROI;CABANIS
2023.0;Compétition officielle;Cohn, Mariano;Paris : Wild side video, 2022;COMP;CABANIS
2023.0;Licorice pizza;Anderson, Paul Thomas;Paris : Universal Pictures Vidéo, 2022;LICO;CABANIS
2023.0;Le discours;Tirard, Laurent;Paris : Le Pacte, 2021;C DISC;CABANIS
2023.0;Là-haut;Docter, Pete;"Marne-la-Vallée : Pixar ; Buena Vista Home Entertainment, 2009";A LAHA;CABANIS
2023.0;EO;Skolimowski, Jerzy;Paris : ARP Sélection, 2023;EO;CABANIS
2023.0;La belle et le clochard;Luske, Hamilton;[S.l] : Buena Vista Home Intertainment, 2006;A BELL;CABANIS
2023.0;Ticket to Paradise;Parker, Ol;Paris : Universal Pictures Vidéo, 2023;C TICK;CABANIS
2023.0;Les volets verts;Becker, Jean;Paris : ARP Sélection, 2023;VOLE;CABANIS
2023.0;Madagascar 3 : bons baisers d'Europe;Darnell, Eric;[S.l.] : DreamWorks Animation SKG, 2012;Anim MADA;CABANIS
2023.0;Respect;Tommy, Liesl;Paris : Universal Pictures Vidéo, 2022;M RESP;CABANIS
2023.0;The White Lotus. Saison 1, intégrale;White, Mike;[S.l.] Etats-Unis : Home Box Office, 2022;TV WHIT;CABANIS
2023.0;L'âge de glace 2;Saldanha, Carlos;U.S.A. : Twentieth Century Fox Home Entertainment, 2006;A AGED;CABANIS
2023.0;Louise en hiver;Laguionie, Jean-François;Rueil-Malmaison : Condor Entertainment, 2017;Anim LOUI;CABANIS
2024.0;Anatomie d'une chute;Triet, Justine;Paris : Le Pacte, 2023;ANAT;CABANIS
2024.0;Babylon;Chazelle, Damien;Boulogne-Billancourt : Paramount Pictures, 2023;BABY;CABANIS
2024.0;Raya et le dernier dragon;Hall, Don;Marne-la-Vallée : The Walt Disney Company, 2021;Anim RAYA;CABANIS
2024.0;Harry Potter à l'école des sorciers;Columbus, Chris;Paris : Warner Home Video, 2002.;F HARR;CABANIS
2024.0;Interdit aux chiens et aux italiens;Ughetto, Alain;Paris : Blaq out, 2023;Anim INTE;CABANIS
2024.0;Asteroid City;Anderson, Wes;Paris : Universal Pictures Vidéo, 2023;ASTE;CABANIS
2024.0;Tous en scène 2;Jennings, Garth;Paris : Universal Pictures Vidéo, 2022;A TOUS;CABANIS
2024.0;L'arbre aux papillons d'or;Pham, Thien An;Paris : Nour Films, 2024;ARBR;EMP
2024.0;L'établi;Gokalp, Mathias;Paris : Le Pacte, 2023;ETAB;CABANIS
2024.0;Enzo le croco;Speck, Will;Suresnes : Sony Pictures Home Entertainment, 2023;A ENZO;CABANIS
2024.0;Rien à perdre;Deloget, Delphine;Paris : Ad Vitam, 2024;RIEN;CABANIS
2024.0;Monstres Academy;Scanlon, Dan;Marne-la-Vallée : The Walt Disney Company, 2013;A MONS;CABANIS
2024.0;Les As de la jungle;Alaux, David;Neuilly-sur-Seine : M6 vidéo, 2017;A ASDE;CABANIS
2024.0;Hunger Games : La ballade du serpent et de l'oiseau chanteur;Lawrence, Francis;Paris : Metropolitan filmexport, 2024;SF HUNG;CABANIS
2024.0;Saint Omer;Diop, Alice;Paris : Blaq out, 2023;SAIN;CABANIS
2024.0;Hokusai;Hashimoto, Hajime;Paris : Hanabi, 2023;HOKU;CABANIS
2024.0;La panthère des neiges;Amiguet, Marie;Paris : Paprika Films, 2022;CR PANT;CABANIS
2024.0;Caravage;Placido, Michele.;Paris : Le Pacte, 2023;CARA;CABANIS
2024.0;A couteaux tirés;Johnson, Rian;Paris : Metropolitan filmexport, 2020;P ACOU;CABANIS
2024.0;Perfect days;Wenders, Wim;Paris : Blaq out, 2024;PERF;CABANIS
2024.0;Shaun le Mouton : La ferme contre-attaque : le film;Becher, Will;Issy-les-Moulineaux : Studio Canal vidéo, 2020;A SHAU;CABANIS
2024.0;Aline;Lemercier, Valérie;Neuilly-sur-Seine : Gaumont, 2022;M ALIN;CABANIS
2024.0;Un homme heureux;Séguéla, Tristan;Neuilly-sur-Seine : Gaumont, 2023;C UNHO;CABANIS
2024.0;Vivre;Hermanus, Oliver;Paris : Metropolitan filmexport, 2023;VIVR;CABANIS
2021.0;Harry Potter et l'ordre du Phénix;Yates, David;Neuilly-sur-Seine : Warner Home Vidéo, 2008;HARR;CABANIS
2021.0;Tout simplement noir;Zadi, Jean-Pascal;Neuilly-sur-Seine : Gaumont, 2020;C TOUT;CABANIS
2021.0;La petite sirène;Musker, John;Burbank, Calif. : Buena Vista Home Entertainment, 2013;A PETI;CABANIS
2021.0;Mon cousin;Kounen, Jan;Paris : Pathé, 2021;C MONC;CABANIS
2021.0;Un divan à Tunis;Labidi, Manele;Paris : Diaphana Films, 2020;DIVA;CABANIS
2021.0;Comme des bêtes;Cheney, Yarrow;Paris : Universal Pictures Vidéo, 2016;-;CABANIS
2021.0;Ernest et Célestine;Renner, Benjamin;Issy-les-Moulineaux : Studio Canal vidéo, 2013;A ERNE;CABANIS
2021.0;La promesse de l'aube;Barbier, Eric;Paris : Pathé, 2018;PROM;CABANIS
2021.0;Le musée des merveilles;Haynes, Todd;Paris : Metropolitan filmexport, 2018;MUSE;CABANIS
2021.0;Killing Eve. Saison 1, intégrale;Waller-Bridge, Phoebe;Paris : Universal Pictures Vidéo, 2018;TV KILL;CABANIS
2021.0;Lettre à Franco;Amenabar, Alejandro;Rueil-Malmaison : Condor Entertainment, 2020;R AMEN;CABANIS
2021.0;Sans un bruit;Krasinski, John;Boulogne-Billancourt : Paramount Pictures, 2018;F SANS 1;CABANIS
2019.0;Harry Potter et la chambre des secrets;Columbus, Chris;Paris : Warner Home Video, 2003.;HARR;CABANIS
2019.0;L'âge de glace 5 : les lois de l'univers;Thurmeier, Michael;Paris : 20th Century Fox, 2016;Anim AGED;CABANIS
2022.0;Coco;Unkrich, Lee;[S.l.] : Disney - Pixar, 2018;Anim COCO;CABANIS
2022.0;Mandibules;Dupieux, Quentin;Paris : Memento Films, 2021;R DUPI;CABANIS
2022.0;Onoda : 10 000 nuits dans la jungle;Harari, Arthur;Paris : Le Pacte, 2021;H ONOD;CABANIS
2022.0;Mignonnes;Doucouré, Maèimouna;Paris : Blaq out, 2021;MIGN;CABANIS
2022.0;France;Dumont, Bruno;Paris : ARP Sélection, 2022;FRAN;CABANIS
2022.0;Captain Marvel;Boden, Anna;Burbank CA, USA : Marvel, 2019;SF CAPT;CABANIS
2022.0;Eté 85;Ozon, François;Paris : Diaphana Films, 2020;ETE8;CABANIS
2022.0;9 mois ferme;Dupontel, Albert;Paris : Wild side video, 2014;C 9MOI;CABANIS
2022.0;Chambre 212;Honoré, Christophe;Paris : Memento Films, 2020;CHAM;CABANIS
2022.0;Les choses humaines;Attal, Yvan;Neuilly-sur-Seine : Gaumont, 2022;CHOS;CABANIS
2022.0;Les vacances du petit Nicolas;Tirard, Laurent;Paris : Wild side video, 2014;C VACA;CABANIS
2022.0;Maigret;Leconte, Patrice;Neuilly-sur-Seine : M6 vidéo, 2022;P MAIG;CABANIS
2022.0;Une histoire d'amour et de désir;Bouzid, Leyla;Paris : Pyramide Vidéo, 2021;HIST;CABANIS
2022.0;The lighthouse;Eggers, Robert;Paris : Universal Pictures Vidéo, 2020;F LIGH;CABANIS
2022.0;Place publique;Jaoui, Agnès;Paris : Le Pacte, 2018;C PLAC;CABANIS
2022.0;Dheepan;Audiard, Jacques;Neuilly-sur-Seine : UGC Vidéo, 2016;DHEE;CABANIS
2022.0;Adieu Monsieur Haffmann;Cavayé, Fred;Paris : Studio 37 - Orange, 2022;ADIE;CABANIS
2019.0;Aladdin;Musker, John;Marne-la-Vallée : The Walt Disney Company, 2011;A ALAD;CABANIS
2019.0;Thor : Ragnarok;Waititi, Taika;Burbank CA, tats-Unis : Marvel, 2018;SF THOR;CABANIS
2019.0;La nuit au musée 2;Levy, Shawn;"Paris : 20th Century Fox ; 2009";NUIT;CABANIS
2019.0;Les heures sombres;Wright, Joe;Paris : Universal Pictures Vidéo, 2018;H HEUR;CABANIS
2019.0;Le grand jeu;Sorkin, Aaron;Neuilly-sur-Seine : M6 vidéo, 2018;GRAN;CABANIS
2019.0;Julieta;Almodovar, Pedro;Paris : Pathé, 2016;JULI;CABANIS
2019.0;True Detective. Saison 1, intégrale;Pizzolatto, Nic;[S.l.] Etats-Unis : Home Box Office, 2014;TV TRUE;CABANIS
2019.0;Le chat Potté;Miller, Chris;s.l. : DreamWorks France, 2012;A CHAT;CABANIS
2019.0;Hunger Games;Ross, Gary;Paris : Metropolitan filmexport, 2012;SF HUNG;CABANIS
2019.0;Le bossu de Notre-Dame;Trousdale, Gary;Paris : Warner Home Video, 2001;A BOSS;CABANIS
2019.0;Le Trône de Fer. Saison 4, intégrale;Benioff, David;[S.l.] Etats-Unis : Home Box Office, 2015;TV TRON;CABANIS
2019.0;Loulou : l'incroyable secret;Omond, Eric;Paris : Diaphana Films, 2014;A LOUL;CABANIS
2019.0;Dragons 2;DeBlois, Dean;[S.l.] : DreamWorks Animation SKG, 2014;Anim DRAG;CABANIS
2019.0;Alabama Monroe;Van groeningen, Felix;Neuilly-sur-Seine : M6 vidéo, 2014;ALAB;CABANIS
2019.0;Lolo;Delpy, Julie;Boulogne-Billancourt : TF1 Vidéo, 2016;C LOLO;CABANIS
2019.0;Kirikou et les bêtes sauvages;Ocelot, Michel;Paris : France Télévision Distribution [éd.], 2006;A KIRI;CABANIS
2023.0;Buzz l'éclair;McLane, Angus;[S.l.] : Disney - Pixar, 2022;Anim BUZZ;CABANIS
2023.0;As Bestas;Sorogoyen, Rodrigo;Paris : Le Pacte, 2022;P ASBE;CABANIS
2023.0;En attendant Bojangles;Roinsard, Régis;Issy-les-Moulineaux : Studio Canal vidéo, 2022;ENAT;CABANIS
2023.0;Nomadland;Zhao, Chloé;Paris : 20th Century Fox, 2021;NOMA;CABANIS
2023.0;Alice au pays des merveilles;Burton, Tim;Marne-la-Vallée : The Walt Disney Company, 2010;ALIC;CABANIS
2023.0;Youssef Salem a du succès;Kasmi, Baya;Neuilly-sur-Seine : M6 vidéo, 2023;C YOUS;CABANIS
2023.0;1001 pattes;Lasseter, John;[S.l.] : Disney - Pixar, 2001;A 1001;CABANIS
2023.0;La daronne;Salomé, Jean-Paul;Paris : Le Pacte, 2021;C DARO;CABANIS
2023.0;Une vie cachée;Malick, Terrence;Neuilly-sur-Seine : UGC Vidéo, 2020;VIEC;CABANIS
2023.0;Tout le monde aime Jeanne;Devaux, Céline;Paris : Diaphana Films, 2023;TOUT;CABANIS
2023.0;Les Indestructibles 2;Bird, Brad;[S.l.] : Disney - Pixar, 2018;Anim INDE;CABANIS
2023.0;La page blanche;Magellan, Murielle;Neuilly-sur-Seine : M6 vidéo, 2022;C PAGE;CABANIS
2023.0;Kung Fu Panda 3;Yuh, Jennifer;[S.l.] : DreamWorks Animation SKG, 2016;A KUNG;CABANIS
2023.0;Les enfants loups : Ame & Yuki;Hosoda, Mamoru;[s.l.] : Kazé, 2013;A ENFA;CABANIS
2023.0;Portrait de la jeune fille en feu;Sciamma, Céline;Paris : Pyramide Vidéo, 2020;PORT;CABANIS
2023.0;The Fabelmans;Spielberg, Steven;Paris : Universal Pictures Vidéo, 2023;FABE;CABANIS
2023.0;Tár;Field, Todd;Paris : Universal Pictures Vidéo, 2023;TAR;CABANIS
2024.0;Astérix et Obélix : l'Empire du milieu;Canet, Guillaume;Paris : Pathé, 2023;ASTE;CABANIS
2024.0;La famille Asada;Nakano, Ryôta;Paris : Hanabi, 2023;FAMI;CABANIS
2024.0;Le livre des solutions;Gondry, Michel;Paris : The Jokers, 2024;LIVR;CABANIS
2024.0;Le sommet des dieux;Imbert, Patrick;Paris : Wild side video, 2022;A SOMM;CABANIS
2024.0;L'innocent;Garrel, Louis;Paris : Ad Vitam, 2023;C INNO;CABANIS
2024.0;Burning days;Alper, Emin;Paris : Memento Films, 2023;P BURN;CABANIS
2024.0;Le Grinch;Mosier, Scott;Paris : Universal Pictures Vidéo, 2019;A GRIN;CABANIS
2024.0;Transformers : Rise of the beasts;Caple, Steven;Boulogne-Billancourt : Paramount Pictures, 2023;SF TRAN;CABANIS
2024.0;Suzume;Shinkai, Makoto;San Francisco, Etats-Unis : Crunchyroll, 2024;Anim SUZU;CABANIS
2024.0;L'origine du mal;Marnier, Sébastien;Paris : The Jokers, 2023;P ORIG;CABANIS
2024.0;Cendrillon;Geronimi, Clyde;Marne-la-Vallée : The Walt Disney Company, 2010;A CEND;CABANIS
2024.0;Winter break;Payne, Alexander;Paris : Universal Pictures Vidéo, 2024;WINT;CABANIS
2024.0;Un coup de maître;Bezançon, Rémi;Paris : Zinc., 2023;COUP;CABANIS
2024.0;La belle au bois dormant;Geronimi, Clyde;Marne-la-Vallée : Buena Vista Home Entertainment, 2008;A BELL;CABANIS
2024.0;Cars;Lasseter, John;[S.l] : Buena Vista Home Intertainment, 2006;A CARS;CABANIS
2024.0;Toy story 3;Unkrich, Lee;Boulogne-Billancourt : Buena Vista Vidéo, 2019;Anim TOYS;CABANIS
2024.0;Nos soleils;Simón, Carla;Paris : Pyramide Vidéo, 2023;NOSS;CABANIS
2024.0;Le voyage d'Arlo;Sohn, Peter;Marne-la-Vallée : The Walt Disney Company, 2016;A VOYA;CABANIS
2024.0;L'innocence;Kore-Eda, Hirokazu;Paris : Le Pacte, 2024;INNO;CABANIS
2024.0;Le dernier jaguar;Maistre, Gilles de;Issy-les-Moulineaux : Studio Canal vidéo, 2024;AV DERN;CABANIS
2024.0;Thor : Love and Thunder;Waititi, Taika;Burbank CA, USA : Marvel, 2022;SF THOR;CABANIS
2024.0;King;Moreau, David;Paris : Pathé, 2022;AV KING;CABANIS
2024.0;Ruby, l'ado Kraken;Demicco, Kirk;Paris : Universal Pictures Vidéo, 2023;Anim RUBY;CABANIS
2024.0;Mia et le Lion Blanc;Maistre, Gilles de;Issy-les-Moulineaux : Studio Canal vidéo, 2019;MIAE;CABANIS
2017.0;Alice, de l'autre côté du miroir;Bobin, James;Marne-la-Vallée : The Walt Disney Company, 2016;ALIC;CABANIS
2017.0;Chicken Run;Park, Nick;Paris : FPE, 2001;A CHIC;CABANIS
2017.0;Spider-Man 2;Raimi, Sam;Boulogne-Billancourt : Gaumont Columbia Tristar Home Video, 2005;SPID/2;CABANIS
2017.0;Max et les maximonstres;Jonze, Spike;Neuilly-sur-Seine : Warner Home Video, 2010;F MAXE;CABANIS
2017.0;Inside Llewyn Davis;Coen, Joel;Issy-les-Moulineaux : Studio Canal vidéo, 2014;INSI;CABANIS
2018.0;Ma vie de courgette;Barras, Claude;Issy-les-Moulineaux : France Télévisions Distribution, 2017;A MAVI;CABANIS
2018.0;12 Years A Slave;McQueen, Steve;Paris : France Télévisions Distribution, 2014;12YE;CABANIS
2011.0;No country for old men;Coen, Joel;Vélizy : Paramount Vidéo, 2008;P NOCO;CABANIS
2011.0;L'amour, c'est mieux à deux;-;Issy-les-Moulineaux : Studio Canal, 2010;C AMOU;CABANIS
2011.0;Horus prince du soleil;Takahata, Isao;[S.l] : Wild Side Video, 2004;A HORU;CABANIS
2012.0;Into the wild;Penn, Sean;Paris : Pathé, 2008;INTO;CABANIS
2014.0;Le monde de Narnia. Chapitre 3 : l'odyssée du passeur;Apted, Michael;Paris : 20th Century Fox, 2011;RTF LEWI;CABANIS
2014.0;Blanche Neige et les sept nains;Hand, David;"Marne-la-Vallée : Buena Vista Home Entertainment ; 2014";A BLAN;CABANIS
2014.0;Au-delà;Eastwood, Clint;Neuilly-sur-Seine : Warner Home Vidéo, 2011;AUDE;CABANIS
2014.0;Breaking bad. Saison 1, intégrale;Gilligan, Vince;Suresnes : Sony Columbia, 2011;TV BREA;CABANIS
2013.0;Raiponce;Greno, Nathan;Marne-la-Vallée : The Walt Disney Company, 2011;A RAIP;CABANIS
2013.0;Mon père est femme de ménage;Azzeddine, Saphia;Bondoufle : Universal Vidéo, 2011;MONP;CABANIS
2015.0;Billy Elliot;Daldry, Stephen;Boulogne Billancourt : Studio Canal Video , 2005;BILL;CABANIS
2015.0;Zazie dans le métro;Malle, Louis;Paris : Arte Vidéo, 2005;C ZAZI;CABANIS
2016.0;Epic : la bataille du royaume secret;Wedge, Chris;Paris : 20th Century Fox, 2013;A EPIC;CABANIS
2016.0;Astérix et les indiens;Hahn, Gerhard;U.S.A. : Twentieth Century Fox Home Entertainment, 2003;A ASTE;CABANIS
2016.0;Alceste à bicyclette;Le Guay, Philippe;Paris : Pathé, 2012;ALCE;CABANIS
2016.0;Avril et le monde truqué;Desmares, Christian;Issy-les-Moulineaux : Studio Canal vidéo, 2016;A AVRI;CABANIS
2016.0;Le géant de fer;Bird, Brad;Paris : Warner Home Video, 2000;Anim GEAN;CABANIS
2015.0;Les femmes du 6e étage;Le Guay, Philippe.;Neuilly-sur-Seine : M6 vidéo, 2011;C FEMM;CABANIS
2015.0;Madagascar 2;Darnell, Eric;[S.l.] : DreamWorks France, 2009;A MADA;CABANIS
2012.0;Harry Potter et le prince de sang-mêlé;Yates, David;Neuilly-sur-Seine : Warner Home Vidéo France, 2009;HARR;CABANIS
2012.0;Elizabeth : l'âge d'or;Kapur, Shekhar;Boulogne Billancourt : Studio Canal Vidéo, 2008;H ELIZ;CABANIS
2012.0;Poupoupidou;Hustache-Mathieu, Gérald.;Paris : Diaphana, 2011;C POUP;CABANIS
2016.0;Bambi;Hand, David;Walt Disney France 2005;A BAMB;CABANIS
2016.0;Chasseurs de dragons;Ivernel, Guillaume;Paris : Bac Vidéo, 2008;A CHAS;CABANIS
2016.0;Nanny Mc Phee;Jones, Kirk;[S.l.] : Studio Canal, 2006;NANN;CABANIS
2011.0;Bee movie, drôle d'abeille;Hickner, Steve;[s.l.] : DreamWorks France, 2007;A BEEM;CABANIS
2013.0;Chicken run;Park, Nick;Paris : FPE, 2001;A CHIC;CABANIS
2013.0;2012;Emmerich, Roland;[S. l.] : Sony Pictures Entertainment, 2010;AV 2012;CABANIS
2013.0;Mammuth;Delépine, Benoît;Paris : Ad Vitam, 2010;MAMM;CABANIS
2013.0;Les aventures de Pinocchio;Comencini, Luigi;Paris : Doriane Films, 2000;F AVEN;CABANIS
2013.0;Je me suis fait tout petit;Rouaud, Cecilia;Paris : Studio 37 - Orange, 2012;C JEME;CABANIS
2014.0;Les noces rebelles;Mendes, Sam;Bussy Saint-Georges : Paramount Vidéo, 2009;NOCE;CABANIS
2018.0;Deux jours, une nuit;Dardenne, Jean-Pierre;Paris : Diaphana Films, 2014;DEUX;CABANIS
2018.0;L'âge de glace 3 : le temps des dinosaures;Saldanha, Carlos;Paris : 20th Century Fox, 2009;A AGED;CABANIS
2017.0;Spider-Man;Raimi, Sam;Boulogne-Billancourt : Gaumont Columbia Tristar home vidéo [distrib.], 2002;F SPID;CABANIS
2017.0;Arthur 3 : la guerre des deux mondes;Besson, Luc;Paris : EuropaCorp, 2011;A ARTH/3;CABANIS
2016.0;Contagion;Soderbergh, Steven;Neuilly-sur-Seine : Warner Bros., 2012;P CONT;CABANIS
2012.0;Potiche;Ozon, François;Paris : FTD, 2011;C POTI;CABANIS
2012.0;Big Fish;Burton, Tim;Boulogne-Billancourt : Gaumont Columbia Tristar Home Video, 2004;F BIGF;CABANIS
2012.0;Treize à la douzaine;Levy, Shawn;U.S.A. : Twentieth Century Fox Home Entertainment, 2004;TREI;CABANIS
2015.0;Take shelter;Nichols, Jeff;Paris : Ad Vitam, 2012;TAKE;CABANIS
2015.0;Blanche Neige et le chasseur;Sanders, Rupert;Boulogne-Billancourt : Universal pictures video, 2012;F BLAN;CABANIS
2011.0;Once;Carney, John;Neuilly-sur-Seine : M6 SND, 2008;M ONCE;CABANIS
2011.0;Forrest Gump;Zemeckis, Robert;Vélizy : Paramount Vidéo, 2005;FORR;CABANIS
2011.0;La Vengeance dans la peau;Greengrass, Paul;Antony : Universal Pictures Video, 2007;P VENG;CABANIS
2014.0;Populaire;Roinsard, Régis.;Boulogne-Billancourt : Universal pictures video, 2013;C POPU;CABANIS
2017.0;Ave César !;Coen, Joel;Paris : Universal Pictures Vidéo, 2016;C AVEC;CABANIS
2013.0;Oliver Twist;Polanski, Roman;Paris : Pathé, 2005;OLIV;CABANIS
2015.0;L'île de Nim;Flackett, Jennifer;Neuilly-sur-Seine : M6 vidéo, 2008;AV ILED;CABANIS
2015.0;Au bout du conte;Jaoui, Agnès;Paris : Memento Films, 2013;BR AUBO;CABANIS
2012.0;Charlie et la chocolaterie;Burton, Tim;Neuilly-sur-Seine : Warner Home Video, 2006;CHAR;CABANIS
2012.0;The lovely bones;Jackson, Peter;Paris : Dreamworks, 2010;F LOVE;CABANIS
2012.0;Tout ce qui brille;Nakache, Géraldine;Paris : FPE, 2010;C TOUT;CABANIS
2011.0;Dragons;Deblois, Dean;[S.l.] : DreamWorks France, 2010;A DRAG;CABANIS
2011.0;Minuscule : la vie privée des insectes. Saison 1, DVD 4;Szabo, Thomas;Paris : Montparnasse, 2007;A MINU;CABANIS
2013.0;Le fils à Jo;Guillard, Philippe;Neuilly-sur-Seine : Gaumont, 2011;FILS;CABANIS
2014.0;L'âge de glace;Wedge, Chris;U.S.A. : Twentieth Century Fox Home Entertainment , 2003;A  AGED;CABANIS
2014.0;L'histoire sans fin;Petersen, Wolfgang;Paris : Warner Home Video, 2001.;HIST;CABANIS
2018.0;Le sens de la fête;Toledano, Eric;Neuilly-sur-Seine : Gaumont, 2018;C SENS;CABANIS
2017.0;Princes et princesses : six contes enchanteurs;Ocelot, Michel;Paris : France Télévision Distribution [éd.], 2001;A PRIN;CABANIS
2017.0;Le corniaud;Oury, Gérard;Boulogne Billancourt : Studio Canal Vidéo, 2003;C CORN;CABANIS
2013.0;Mia et Migou;Girerd, Jacques-Rémy;Paris : FTD, 2009;A MIAE;CABANIS
2013.0;Les Saphirs;Blair, Wayne;Boulogne-Billancourt  : TF1 Vidéo, 2012;M SAPH;CABANIS
2023.0;La Pat' Patrouille : le film;Brunker, Cal;Boulogne-Billancourt : Paramount Pictures, 2021;angfredut freengdut;CABANIS
2023.0;Matilda;De Vito, Danny;Boulogne Billancourt : Gaumont Columbia Tristar home video, 1998;C MATI;CABANIS
2023.0;Avec amour et acharnement;Denis, Claire;Paris : Ad Vitam, 2023;AVEC;CABANIS
2023.0;Uncharted;Fleischer, Ruben;Suresnes : Sony Pictures Home Entertainment, 2022;AV UNCH;CABANIS
2023.0;L'appel de la forêt;Sanders, Chris;Paris : 20th Century Fox, 2021;APPE;CABANIS
2023.0;Succession. Saison 2, intégrale;Armstrong, Jesse;[S.l.] Etats-Unis : Home Box Office, 2020;TV SUCC;CABANIS
2023.0;La tortue rouge;Dudok de Wit, Michaël;Paris : Wild side video, 2016;A TORT;CABANIS
2023.0;Le Grand Méchant Renard : Et autres contes...;Renner, Benjamin;Issy-les-Moulineaux : Studio Canal vidéo, 2017;Anim GRAN;CABANIS
2023.0;Bohemian rhapsody;Singer, Bryan;Paris : 20th Century Fox, 2019;M BOHE;CABANIS
2024.0;Wish : Asha et la bonne étoile;Buck, Chris;Marne-la-Vallée : The Walt Disney Company, 2024;Anim WISH;CABANIS
2024.0;The old oak;Loach, Ken;Paris : Le Pacte, 2024;OLDO;CABANIS
2024.0;L'enlèvement;Bellocchio, Marco;Paris : Ad Vitam, 2024;H ENLE;CABANIS
2024.0;Ant-Man et la guêpe : Quantumania;Reed, Peyton;Burbank CA, États-Unis : Marvel, 2023;F ANTM;CABANIS
2024.0;Zootopie;Howard, Byron;Marne-la-Vallée : The Walt Disney Company, 2016;A ZOOT;CABANIS
2024.0;Strange way of life;Almodovar, Pedro;Paris : Pathé, 2023;CM STRA;CABANIS
2024.0;Master gardener;Schrader, Paul;Paris : The Jokers, 2023;MAST;CABANIS
2024.0;Cruella;Gillepsie , Craig;Marne-la-Vallée : The Walt Disney Company, 2021;C CRUE;CABANIS
2024.0;The Batman;Reeves, Matt;Neuilly-sur-Seine : Warner Bros., 2022;F BATM;CABANIS
2024.0;Le parfum vert;Pariser, Nicolas;Paris : Diaphana Films, 2023;C PARF;CABANIS
2024.0;Ferrari;Mann, Michael;Paris : BQHL Editions, 2024;FERR;CABANIS
2024.0;La sirène;Farsi, Sepideh;Neuilly-sur-Seine : M6 vidéo, 2023;A SIRE;CABANIS
2020.0;Moi, moche et méchant 3;Balda, Kyle;Paris : Universal Pictures Vidéo, 2017;Anim MOIM;CABANIS
2020.0;Peter Pan;Luske, Hamilton;Marne-la-Vallée : The Walt Disney Company, 2012;Anim PETE;CABANIS
2020.0;Ballerina;Summer, Eric;Neuilly-sur-Seine : Gaumont, 2017;Anim BALL;CABANIS
2020.0;Mary Shelley;Al-mansour, Haifaa;Paris : Pyramide Vidéo, 2018;H MARY;CABANIS
2020.0;Planetarium;Zlotowski, Rebecca;Paris : Ad Vitam, 2017;PLAN;CABANIS
2020.0;Toy Story 4;Cooley, Josh;[S.l.] : Disney - Pixar, 2019;A TOYS;CABANIS
2020.0;Jalouse;Foenkinos, David;Issy-les-Moulineaux : Studio Canal vidéo, 2018;JALO;CABANIS
2020.0;L'incroyable histoire du facteur Cheval;Tavernier, Nils;Neuilly-sur-Seine : M6 vidéo, 2019;INCR;CABANIS
2020.0;Moonrise Kingdom;Anderson, Wes;Issy-les-Moulineaux : Studio Canal vidéo, 2012;MOON;CABANIS
2020.0;Monsieur Bout-de-Bois;Jaspaert, Jeroen;Paris : Studio 37 - Orange, 2017;A MONS;CABANIS
2019.0;Jamais contente;Deleuze, Emilie;Paris : Ad Vitam, 2017;C JAMA;CABANIS
2020.0;Mon voisin Totoro;Miyazaki, Hayao;[S.l] : Buena Vista Home Intertainment, 2006;A MONV;CABANIS
2020.0;Nevada;Clermont-Tonnerre, Laure de;Paris : Ad Vitam, 2019;NEVA;CABANIS
2020.0;Elle;Verhoeven, Paul;Boulogne-Billancourt : TF1 Vidéo, 2016;P ELLE;CABANIS
2020.0;Yesterday;Boyle, Danny;Paris : Universal Pictures Vidéo, 2019;M YEST;CABANIS
2020.0;Nos batailles;Senez, Guillaume;Paris : Blaq out, 2019;NOSB;CABANIS
2020.0;Lettre à Momo;Okiura, Hiroyuki;Issy-les-Moulineaux : Arte Vidéo, 2014;A LETT;CABANIS
2020.0;Les Trolls;Mitchell, Mike;[S.l.] : DreamWorks Animation SKG, 2017;A TROL;CABANIS
2020.0;A serious man;Coen, Joel;Issy-les-Moulineaux : Studio Canal vidéo, 2010;C SERI;CABANIS
2020.0;The tree of life : l'arbre de vie;Malick, Terrence;Paris : EuropaCorp, 2011;R MALI;CABANIS
2020.0;Rio;Saldanha, Carlos;Paris cedex 14 : FPE, 2011;Anim RIO;CABANIS
2019.0;Paddington 2;King, Paul;Issy-les-Moulineaux : Studio Canal vidéo, 2018;PADD;CABANIS
2019.0;Gaston Lagaffe;Martin-Laval, Pierre-François;Neuilly-sur-Seine : UGC Vidéo, 2018;C GAST;CABANIS
2019.0;Wonder wheel;Allen, Woody;La Plaine Saint-Denis : AB Vidéo, 2018;WOND;CABANIS
2019.0;Comme un avion;Podalydes, Bruno;Neuilly-sur-Seine : UGC Vidéo, 2015;C COMM;CABANIS
2019.0;Nos années folles;Téchiné, André;Paris : ARP Sélection, 2018;NOSA;CABANIS
2019.0;Hôtel Artémis;Pearce, Drew;Paris : Metropolitan filmexport, 2018;SF HOTE;CABANIS
2019.0;Divergente 3 : au-delà du mur;Schwentke, Robert;Neuilly-sur-Seine : M6 vidéo, 2016;SF DIVE;CABANIS
2019.0;Aquarius;Mendonca filho, Kleber;Paris : Blaq out, 2017;AQUA;CABANIS
