titre,artiste,album,langue,genre,annee,source
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,français,Alternative,2024,https://music.apple.com/fr/album/birds-of-a-feather/1739659134?i=1739659142&uo=4
CIEL,GIMS,CIEL - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/ciel/1773791055?i=1773791057&uo=4
Suis-moi,Alonzo,100 %,français,Hip-hop/Rap,2017,https://music.apple.com/fr/album/suis-moi/1440888329?i=1440888464&uo=4
Ma belle,Moha La Squale,Ma belle - Single,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/ma-belle/1475104937?i=1475104938&uo=4
Le monde ou rien,PNL,Le monde Chico,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/le-monde-ou-rien/1048964879?i=1048964883&uo=4
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW - Single,français,Afrobeats,2022,https://music.apple.com/fr/album/ku-lo-sa-a-colors-show/1628124903?i=1628125458&uo=4
Copines,Aya Nakamura,NAKAMURA,français,R&B/Soul,2018,https://music.apple.com/fr/album/copines/1439806285?i=1439806292&uo=4
Loin de moi,Naza,Loin de moi - Single,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/loin-de-moi/1480515013?i=1480515015&uo=4
Sapés comme jamais (feat. Niska) [Pilule Bleue],GIMS,Mon cœur avait raison,français,Hip-hop/Rap,2015,https://music.apple.com/fr/album/sap%C3%A9s-comme-jamais-feat-niska-pilule-bleue/1041473120?i=1041473132&uo=4
Onizuka,PNL,Dans la légende,français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/onizuka/1663880916?i=1663883887&uo=4
Imagine,Carbonne,Imagine - Single,français,Hip-hop/Rap,2024,https://music.apple.com/fr/album/imagine/1743455180?i=1743455190&uo=4
Bob Marley,Dadju,Gentleman 2.0,français,R&B/Soul,2017,https://music.apple.com/fr/album/bob-marley/1440904018?i=1440904217&uo=4
Complètement sonné,KeBlack,Appartement 105,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/compl%C3%A8tement-sonn%C3%A9/1370049440?i=1370049632&uo=4
Si j'savais,Tiakola,Mélo,français,Hip-hop/Rap,2022,https://music.apple.com/fr/album/si-jsavais/1621517604?i=1621517614&uo=4
Mafiosa (feat. Caroliina),Lartiste,Grandestino,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/mafiosa-feat-caroliina/1335713490?i=1335713934&uo=4
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),français,Hip-hop/Rap,2011,https://music.apple.com/fr/album/cant-hold-us-feat-ray-dalton/560097651?i=560097694&uo=4
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido - Single,français,Musique latine,2024,https://music.apple.com/fr/album/si-antes-te-hubiera-conocido/1752031533?i=1752031539&uo=4
Hit Sale (feat. Roméo Elvis),Therapie TAXI,Hit Sale,français,Pop,2017,https://music.apple.com/fr/album/hit-sale-feat-rom%C3%A9o-elvis/1309188928?i=1309189593&uo=4
Where Are You Now,Lost Frequencies & Calum Scott,Where Are You Now - Single,français,Dance,2021,https://music.apple.com/fr/album/where-are-you-now/1576395044?i=1576395046&uo=4
We Found Love (feat. Calvin Harris),Rihanna,Talk That Talk (Deluxe),français,Pop,2011,https://music.apple.com/fr/album/we-found-love-feat-calvin-harris/1443061797?i=1443062143&uo=4
Calma (Remix),Pedro Capó & Farruko,Calma (Remix) - Single,français,Pop en espagnol,2018,https://music.apple.com/fr/album/calma-remix/1437920278?i=1437920364&uo=4
Dusk Till Dawn (feat. Sia),ZAYN,Dusk Till Dawn (Radio Edit) [feat. Sia] - Single,français,Pop,2017,https://music.apple.com/fr/album/dusk-till-dawn-feat-sia/1279377996?i=1279378195&uo=4
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix) - Single,français,Pop,2021,https://music.apple.com/fr/album/cold-heart-pnau-remix/1578986656?i=1578986673&uo=4
Crazy in Love (feat. Jay-Z),Beyoncé,Dangerously in Love,français,Pop,2003,https://music.apple.com/fr/album/crazy-in-love-feat-jay-z/201274359?i=201274644&uo=4
Loco Contigo (feat. Tyga),DJ Snake & J Balvin,Loco Contigo (feat. Tyga) - Single,français,Urban latin,2019,https://music.apple.com/fr/album/loco-contigo-feat-tyga/1466700223?i=1466700569&uo=4
Tout donner (Pilule Violette),GIMS,À contrecœur (Pilule Violette),français,Hip-hop/Rap,2016,https://music.apple.com/fr/album/tout-donner-pilule-violette/1144616862?i=1144617400&uo=4
Beautiful Things,Benson Boone,Beautiful Things - Single,français,Pop,2024,https://music.apple.com/fr/album/beautiful-things/1724488123?i=1724488124&uo=4
Suavemente,Soolking,Suavemente - Single,français,Hip-hop/Rap,2022,https://music.apple.com/fr/album/suavemente/1610568376?i=1610568378&uo=4
Feel It Still,Portugal. The Man,Woodstock,français,Alternative,2017,https://music.apple.com/fr/album/feel-it-still/1229315038?i=1229315050&uo=4
Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton & Nightcrawlers,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit] - Single,français,Dance,2021,https://music.apple.com/fr/album/friday-feat-mufasa-hypeman-dopamine-re-edit/1544962410?i=1544962737&uo=4
Oui ou non,Angèle,Brol La Suite,français,Variété française,2019,https://music.apple.com/fr/album/oui-ou-non/1482645200?i=1482645540&uo=4
Umbrella (feat. JAY-Z),Rihanna,Good Girl Gone Bad: Reloaded,français,Pop,2007,https://music.apple.com/fr/album/umbrella-feat-jay-z/1441154435?i=1441154437&uo=4
Le temps,Tayc,Fleur froide (Donum Novae),français,Variété française,2020,https://music.apple.com/fr/album/le-temps/1554833033?i=1554833273&uo=4
Highway to Hell,AC/DC,Highway to Hell,français,Hard rock,1979,https://music.apple.com/fr/album/highway-to-hell/574043989?i=574044008&uo=4
Sans peine,Ninho,Destin,français,Hip-hop/Rap,2019,https://music.apple.com/fr/album/sans-peine/1453399177?i=1453399178&uo=4
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",français,Alternative,2018,https://music.apple.com/fr/album/when-the-partys-over/1450695723?i=1450695872&uo=4
Dieu merci (feat. Tiakola),Dadju,Poison Ou Antidote (Edition Miel Book),français,R&B/Soul,2020,https://music.apple.com/fr/album/dieu-merci-feat-tiakola/1533401636?i=1533401642&uo=4
Believer,Imagine Dragons,Evolve,français,Alternative,2017,https://music.apple.com/fr/album/believer/1411625594?i=1411628233&uo=4
Sorry,Justin Bieber,Purpose (Deluxe),français,Pop,2015,https://music.apple.com/fr/album/sorry/1440829460?i=1440829610&uo=4
Par amour (feat. Maître Gims),Dadju,Gentleman 2.0,français,R&B/Soul,2017,https://music.apple.com/fr/album/par-amour-feat-ma%C3%AEtre-gims/1440904018?i=1440904224&uo=4
Let Me Love You (feat. Justin Bieber),DJ Snake,Encore,français,Dance,2016,https://music.apple.com/fr/album/let-me-love-you-feat-justin-bieber/1440867448?i=1440867817&uo=4
À nos souvenirs,Trois Cafés Gourmands,Un air de rien,français,Variété française,2018,https://music.apple.com/fr/album/%C3%A0-nos-souvenirs/1435202922?i=1435202942&uo=4
